id|name|thumb_image|main_image|is_performer
437947|Nilda Richards|https://i.discogs.com/eGeTae07XeGE8q_uDMYAVjdSIJMCk1sIGeRVpyPks64/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTQzNzk0/Ny0xMzQ4MzExNjg4/LTQ5ODkuanBlZw.jpeg|https://i.discogs.com/dIwQKWkR-zzal-nKzJPlB7wKJxPy9zx8vjkxH1qEBp8/rs:fit/g:sm/q:90/h:600/w:295/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTQzNzk0/Ny0xMzQ4MzExNjg4/LTQ5ODkuanBlZw.jpeg|0
1267550|Jonas Johansen|https://i.discogs.com/eR1WC51uwUvrLKXv4uLp5LnrV23GARofrlj2a7pQnSc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTEyNjc1/NTAtMTU5ODE3MDgz/Ni02NzQwLm1wbw.jpeg|https://i.discogs.com/J1yMYgLsTYTouVD2y9A6M_f_1Wf-1FBpjKGQNzkbM7k/rs:fit/g:sm/q:90/h:921/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTEyNjc1/NTAtMTU5ODE3MDgz/Ni02NzQwLm1wbw.jpeg|1
254394|Oscar Peterson|https://i.discogs.com/-4OqzOAhZ19GlEd-VpKzKll2SsfchNmTQXS1ZC_K7Jc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI1NDM5/NC0xMTA4NDc3NjM2/LmpwZw.jpeg|https://i.discogs.com/oNAxkqBo76hZ6kzxNbvytylKS02ygKRsHt1vLvB6vCI/rs:fit/g:sm/q:90/h:265/w:200/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI1NDM5/NC0xMTA4NDc3NjM2/LmpwZw.jpeg|1
611497|Niels Lan Doky|https://i.discogs.com/tX_QciqDe8tNVdNeSDsMN7bAVY5Rmz0ZoMHc0-DLIF8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTYxMTQ5/Ny0xMzY0MTM5OTM0/LTgzNzcuanBlZw.jpeg|https://i.discogs.com/3OLgGm7vi9m4jTnM6tAuZZkPK8l1-AJZviHeJ4Oh6Mg/rs:fit/g:sm/q:90/h:246/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTYxMTQ5/Ny0xMzY0MTM5OTM0/LTgzNzcuanBlZw.jpeg|0
519658|Hans Nielsen|https://i.discogs.com/LkQzZzzU5g86UF7EbQPmunDu5qBb6xce93qK8Vj6c7o/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTUxOTY1/OC0xMzUwOTM2MzU4/LTc5MjMuanBlZw.jpeg|https://i.discogs.com/_IRV7dDWz9BmCPiQG6T_Ndow1u96rITbK6p4G54Zl7I/rs:fit/g:sm/q:90/h:500/w:421/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTUxOTY1/OC0xMzUwOTM2MzU4/LTc5MjMuanBlZw.jpeg|0
516438|Monica Zetterlund|https://i.discogs.com/TSQa_TJ1LvUleaIxdbAhiKBqfes1_O61-kaz2sRk--0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTUxNjQz/OC0xNTc4NDcwMDc1/LTY5ODkucG5n.jpeg|https://i.discogs.com/LSpEWRkIKzOtrcjljUMI-mldJz7W1XfcsHysjtZjWLs/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTUxNjQz/OC0xNTc4NDcwMDc1/LTY5ODkucG5n.jpeg|1
1268428|Monique (19)|https://i.discogs.com/FoT_-ou-kWpVmAH8bcq61X35tZxXACe4eyQFaKwSBS8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTEyNjg0/MjgtMTMyNDMwMDg5/MC5qcGVn.jpeg|https://i.discogs.com/5-2UCNquuvlIGMd0dRLWiuZFycrtX16v6YlGOajHTIo/rs:fit/g:sm/q:90/h:324/w:448/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTEyNjg0/MjgtMTMyNDMwMDg5/MC5qcGVn.jpeg|1
2641933|Milton Shaw|||0
272015|Vic McMillan|||1
244729|Roy Porter|https://i.discogs.com/q3wGObVjWmK1oqg153615UlnOYkHBli1JwN7e070opM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI0NDcy/OS0xMTUxNDYwNzY1/LmpwZWc.jpeg|https://i.discogs.com/QwFgnRnH_6DDIX5P1BXUvECtZHwjhjR1XKEQhxOBRlk/rs:fit/g:sm/q:90/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI0NDcy/OS0xMTUxNDYwNzY1/LmpwZWc.jpeg|1
