id_min|id_max|masters
95088|251778|326501
135871|251778|326501
251778|253443|326501
251778|309767|326501
10079|251778|326501
251778|273916|326501
95088|135871|326501
95088|253443|326501
95088|309767|326501
10079|95088|326501
95088|273916|326501
135871|253443|326501
135871|309767|326501
10079|135871|326501
135871|273916|326501
253443|309767|326501
10079|253443|326501
253443|273916|326501
10079|309767|326501
273916|309767|326501
10079|273916|326501
256556|263441|522997
256556|320748|522997
256556|265629|522997
251778|256556|522997
256556|312526|522997
256556|274976|522997
256556|569163|522997
256556|260723|522997
263441|320748|522997
263441|265629|522997
251778|263441|522997
263441|312526|522997
263441|274976|522997
263441|569163|522997
260723|263441|522997
265629|320748|522997
251778|320748|522997
312526|320748|522997
274976|320748|522997
320748|569163|522997
260723|320748|522997
265629|312526|522997
265629|274976|522997
265629|569163|522997
260723|265629|522997
251778|312526|522997
251778|274976|522997
251778|569163|522997
251778|260723|522997
274976|312526|522997
312526|569163|522997
260723|312526|522997
274976|569163|522997
260723|274976|522997
260723|569163|522997
252998|265354|570826
61587|252998|570826
252998|265629|570826
61587|265354|570826
265354|265629|570826
61587|265629|570826
2389293|2389294|640942
268986|2389294|640942
257115|2389294|640942
268986|2389293|640942
257115|2389293|640942
257115|268986|640942
259075|322131|406320
29977|322131|406320
263096|322131|406320
322131|2605757|406320
267675|322131|406320
263796|322131|406320
29977|259075|406320
259075|263096|406320
259075|2605757|406320
259075|267675|406320
259075|263796|406320
29977|263096|406320
29977|2605757|406320
29977|267675|406320
29977|263796|406320
263096|2605757|406320
263096|267675|406320
263096|263796|406320
267675|2605757|406320
263796|2605757|406320
263796|267675|406320
251780|259075|781206
229498|259075|781206
255556|259075|781206
29992|259075|781206
145264|259075|781206
259075|309986|781206
229498|251780|781206
251780|255556|781206
29992|251780|781206
145264|251780|781206
251780|309986|781206
229498|255556|781206
229498|309986|781206
29992|255556|781206
145264|255556|781206
255556|309986|781206
29992|309986|781206
145264|309986|781206
272340|349615|642120
312641|349615|642120
277632|349615|642120
41401|349615|642120
272340|312641|642120
272340|277632|642120
41401|272340|642120
277632|312641|642120
41401|312641|642120
41401|277632|642120
252998|267717|360055
29966|252998|360055
29966|267717|360055
255556|518450|870855
430824|518450|870855
323587|518450|870855
312519|518450|870855
255556|430824|870855
255556|323587|870855
255556|312519|870855
323587|430824|870855
312519|430824|870855
29958|769522|489185
29958|2029158|489185
29958|364780|489185
769522|2029158|489185
364780|769522|489185
364780|2029158|489185
251873|258511|1672408
251873|357714|1672408
251873|255556|1672408
152684|251873|1672408
251873|259079|1672408
251873|257008|1672408
10079|251873|1672408
50123|251873|1672408
251333|251873|1672408
258511|357714|1672408
255556|258511|1672408
152684|258511|1672408
258511|259079|1672408
257008|258511|1672408
10079|258511|1672408
50123|258511|1672408
251333|258511|1672408
255556|357714|1672408
152684|357714|1672408
259079|357714|1672408
